Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary
2020-04-30 00:00:00 UTC,Apple CFO Says Expects YoY Revenue Performance To Improve In Jun. Qtr,AAPL,https://www.benzinga.com/news/20/04/15928618/apple-cfo-says-expects-yoy-revenue-performance-to-improve-in-jun-qtr,Benzinga Newsdesk,,,,,,
2020-04-30 00:00:00 UTC,Apple CFO Says Liquidity Has Not Been Issue,AAPL,https://www.benzinga.com/news/20/04/15928574/apple-cfo-says-liquidity-has-not-been-issue,Benzinga Newsdesk,,,,,,
2020-04-30 00:00:00 UTC,Apple CEO Tim Cook: We Will Not Be Issuing Guidance For The Following Quarter,AAPL,https://www.benzinga.com/news/earnings/20/04/15928319/apple-ceo-tim-cook-we-will-not-be-issuing-guidance-for-the-following-quarter,Benzinga Newsdesk,,,,,,
2020-04-30 00:00:00 UTC,Apple CEO Tim Cook: We Envision iPad And Mac To Have Improving Year-Over-Year Performances In This Current Quarter,AAPL,https://www.benzinga.com/news/earnings/20/04/15928298/apple-ceo-tim-cook-we-envision-ipad-and-mac-to-have-improving-year-over-year-performances-in-this-c,Benzinga Newsdesk,,,,,,
2020-04-30 00:00:00 UTC,Apple CEO Tim Cook: Apple To Work With Google To Improve COVID-19 Contact Tracing,AAPL,https://www.benzinga.com/news/earnings/20/04/15928232/apple-ceo-tim-cook-apple-to-work-with-google-to-improve-covid-19-contact-tracing,Benzinga Newsdesk,,,,,,
2020-04-30 00:00:00 UTC,Apple CEO Tim Cook: Apple News Had 125M Users,AAPL,https://www.benzinga.com/news/20/04/15928201/apple-ceo-tim-cook-apple-news-had-125m-users,Benzinga Newsdesk,,,,,,
2020-04-30 00:00:00 UTC,Apple CEO Tim Cook: We Are Sourcing More Than 30M Masks For Employees Around The World,AAPL,https://www.benzinga.com/news/earnings/20/04/15928176/apple-ceo-tim-cook-we-are-sourcing-more-than-30m-masks-for-employees-around-the-world,Benzinga Newsdesk,,,,,,
2020-04-30 00:00:00 UTC,12 Stocks Moving In Thursday's After-Hours Session,AAPL,https://www.benzinga.com/news/20/04/15927824/12-stocks-moving-in-thursdays-after-hours-session,Tyree Gorges,,,,,,
2020-04-30 00:00:00 UTC,Apple shares are trading higher after the company reported better-than-expected Q2 EPS and sales results. UPDATE: Shares have since reversed.,AAPL,https://www.benzinga.com/wiim/20/04/15927556/apple-shares-are-trading-higher-after-the-company-reported-better-than-expected-q2-eps-and-sales-res,Benzinga Newsdesk,,,,,,
2020-04-30 00:00:00 UTC,"Apple CEO Tim Cook ""We are confident in our future and continue to make significant investments in all areas of our business to enrich our customers' lives ... including our five-year commitment to contribute $350 billion to the United States Economy""",AAPL,https://www.benzinga.com/news/earnings/20/04/15927536/apple-ceo-tim-cook-we-are-confident-in-our-future-and-continue-to-make-significant-investments-in-a,Benzinga Newsdesk,,,,,,
2020-04-30 00:00:00 UTC,Apple Shares Trading Higher 2.3% Following Q2 Earnings,AAPL,https://www.benzinga.com/news/20/04/15927525/apple-shares-trading-higher-2-3-following-q2-earnings,Benzinga Newsdesk,,,,,,
2020-04-30 00:00:00 UTC,Morning Market Stats in 5 Minutes,AAPL,https://www.benzinga.com/intraday-update/20/04/15921122/morning-market-stats-in-5-minutes,Benzinga Insights,,,,,,
2020-04-30 00:00:00 UTC,Mike Khouw Sees Unusual Options Activity In Apple,AAPL,https://www.benzinga.com/markets/options/20/04/15920418/mike-khouw-sees-unusual-options-activity-in-apple,Craig Jones,,,,,,
2020-04-30 00:00:00 UTC,A Peek Into The Markets: US Stock Futures Edge Higher Ahead Of Apple Earnings,AAPL,https://www.benzinga.com/news/earnings/20/04/15917368/a-peek-into-the-markets-us-stock-futures-edge-higher-ahead-of-apple-earnings,Lisa Levin,,,,,,
2020-04-29 00:00:00 UTC,AT&T Is Hoping HBO Max Will Turn The Tide,AAPL,https://www.benzinga.com/news/earnings/20/04/15884396/at-t-is-hoping-hbo-max-will-turn-the-tide,IAM Newswire,,,,,,
2020-04-29 00:00:00 UTC,Apple Adds Coronavirus Testing Sites To Maps In US,AAPL,https://www.benzinga.com/news/20/04/15903652/apple-adds-coronavirus-testing-sites-to-maps-in-us,Neer Varshney,,,,,,
2020-04-27 00:00:00 UTC,How Large Apple Option Traders Are Positioning Ahead Of Earnings,AAPL,https://www.benzinga.com/markets/options/20/04/15887493/how-large-apple-option-traders-are-positioning-ahead-of-earnings,Wayne Duggan,,,,,,
2020-04-27 00:00:00 UTC,3 Sector ETFs For This Week's Earnings Parade,AAPL,https://www.benzinga.com/news/earnings/20/04/15881281/3-sector-etfs-for-this-weeks-earnings-parade,ETF Professor,,,,,,
